"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL239886";"";"";"Small molecule";"";"366.46";"6";"12";"3.80";"51.66";"5";"0";"0";"6";"N";"0.57";"None";"7.82";"2.85";"2.28";"2";"MOL";"-1";"27";"5";"0";"0";"366.1943";"-0.16";"NEUTRAL";"C22H26N2O3";"COc1cc(OC)c(C2CCN(C)CC2)cc1C(=O)/C=C/c1ccncc1";"KTJIYIRAWIPVOM-SNAWJCMRSA-N"
"CHEMBL241800";"";"";"Small molecule";"";"335.45";"6";"9";"4.40";"29.54";"3";"0";"0";"5";"N";"0.60";"None";"8.23";"4.22";"3.33";"2";"MOL";"-1";"25";"3";"0";"0";"335.1885";"-0.13";"NEUTRAL";"C22H25NO2";"COc1ccc(C2CCN(C)CC2)cc1C(=O)/C=C/c1ccccc1";"MQNKGMUHRVXPEK-CSKARUKUSA-N"
"CHEMBL3122201";"";"";"Unknown";"";"320.11";"11";"47";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"-1";"None";"None";"None";"None";"321.9011";"None";"None";"C10H10O2Se2";"C[Se]C(=O)c1cccc(C(=O)[Se]C)c1";"YTGMVPYZQFRXSF-UHFFFAOYSA-N"
"CHEMBL2449387";"";"";"Small molecule";"";"425.61";"1";"1";"5.40";"41.93";"4";"1";"1";"10";"N";"0.55";"None";"8.79";"5.50";"4.10";"2";"MOL";"-1";"31";"4";"1";"1";"425.2930";"-0.47";"BASE";"C27H39NO3";"CC(C)(C)O[C@H](CCc1ccccc1)c1ccccc1OC[C@H](O)CN1CCCCC1";"FOPMMEATYUWXQX-ZEQKJWHPSA-N"
"CHEMBL4099168";"";"";"Small molecule";"";"412.48";"6";"11";"4.22";"107.58";"8";"2";"0";"5";"N";"0.42";"11.58";"5.15";"3.81";"3.81";"5";"MOL";"-1";"30";"8";"2";"0";"412.1219";"-2.53";"NEUTRAL";"C21H16N8S";"Cc1cc(Nc2ccc(C#N)cc2)n2nc(SCc3nc4ccccc4[nH]3)nc2n1";"OSXANEXPVMBTSQ-UHFFFAOYSA-N"
"CHEMBL448193";"LATILAGASCENE G";"Latilagascene G";"Small molecule";"";"626.75";"3";"8";"6.15";"108.50";"8";"0";"2";"7";"N";"0.16";"None";"None";"7.18";"7.18";"2";"MOL";"-1";"46";"8";"0";"2";"626.2880";"2.05";"NEUTRAL";"C38H42O8";"CC(=O)O[C@H]1[C@@H](COC(=O)c2ccccc2)C[C@]2(OC(=O)/C=C/c3ccccc3)C(=O)/C(C)=C/[C@@H]3[C@H](CC[C@@]4(C)O[C@@H]4[C@@H]12)C3(C)C";"LJAHHBLEMUGHFM-NSMQPIFPSA-N"
"CHEMBL4176228";"";"";"Small molecule";"";"372.38";"4";"9";"4.96";"90.18";"6";"1";"0";"5";"N";"0.39";"None";"4.08";"5.47";"5.47";"4";"MOL";"-1";"28";"7";"1";"0";"372.1222";"-1.67";"NEUTRAL";"C21H16N4O3";"COc1cccc(-c2nc(Nc3cccc([N+](=O)[O-])c3)c3ccccc3n2)c1";"NQVLXXVFNQHZKR-UHFFFAOYSA-N"
"CHEMBL4579602";"";"";"Unknown";"";"296.37";"3";"4";"4.47";"46.53";"3";"1";"0";"7";"N";"0.47";"7.87";"None";"4.75";"4.63";"2";"MOL";"-1";"22";"3";"1";"0";"296.1412";"0.01";"NEUTRAL";"C19H20O3";"CCCCOc1ccc(/C=C/C(=O)c2ccc(O)cc2)cc1";"ZODVNGJHTPZQCK-AWNIVKPZSA-N"
"CHEMBL3917156";"";"";"Small molecule";"";"437.49";"3";"5";"4.20";"74.30";"7";"0";"0";"8";"N";"0.57";"None";"None";"4.40";"4.40";"2";"MOL";"-1";"32";"7";"0";"0";"437.1838";"-0.38";"NEUTRAL";"C25H27NO6";"CCOC(=O)C1=CN(c2ccccc2)C=C(C(=O)OCC)C1c1ccc(OC)c(OC)c1";"XXEFTLPTSHWLFW-UHFFFAOYSA-N"
"CHEMBL4589645";"";"";"Unknown";"";"609.75";"2";"4";"7.31";"79.08";"9";"0";"2";"13";"N";"0.13";"None";"7.70";"7.52";"7.05";"5";"MOL";"-1";"44";"8";"0";"2";"609.2297";"-0.93";"NEUTRAL";"C35H35N3O5S";"COc1cc2c(cc1OC)CN(Cc1ccc(-c3ccc(OCCCOc4nonc4Sc4ccccc4)cc3)cc1)CC2";"PRZNKTVLWXCPOC-UHFFFAOYSA-N"
